iter	Passed	Remaining
408	4523	6535
409	4533	6523
410	4544	6512
411	4554	6500
412	4565	6488
413	4575	6476
414	4585	6463
415	4595	6452
416	4607	6441
417	4618	6430
418	4630	6420
419	4641	6409
420	4651	6397
421	4661	6385
422	4673	6374
423	4683	6363
424	4693	6350
425	4704	6338
426	4714	6326
427	4724	6314
428	4734	6302
429	4746	6291
430	4756	6279
431	4766	6267
432	4777	6255
433	4788	6244
434	4798	6232
435	4808	6220
436	4819	6208
437	4829	6196
438	4839	6184
439	4850	6172
440	4861	6161
441	4871	6150
442	4882	6139
443	4894	6129
444	4904	6117
445	4914	6105
446	4925	6092
447	4935	6081
448	4945	6069
449	4955	6056
450	4966	6045
451	4977	6034
452	4987	6022
453	4998	6010
454	5008	5999
455	5019	5987
456	5029	5976
457	5040	5964
458	5050	5952
459	5060	5941
460	5071	5929
461	5082	5918
462	5092	5906
463	5102	5894
464	5112	5882
465	5123	5870
466	5133	5858
467	5143	5846
468	5153	5834
469	5164	5823
470	5174	5812
471	5185	5800
472	5195	5788
473	5205	5776
474	5216	5765
475	5226	5753
476	5237	5742
477	5248	5731
478	5258	5720
479	5268	5707
480	5279	5696
481	5290	5685
482	5300	5673
483	5311	5662
484	5321	5650
485	5332	5639
486	5342	5627
487	5352	5615
488	5363	5604
489	5373	5593
490	5384	5581
491	5395	5570
492	5405	5558
493	5415	5547
494	5426	5536
495	5436	5524
496	5447	5512
497	5458	5501
498	5468	5490
499	5480	5480
500	5491	5469
501	5501	5457
502	5512	5446
503	5522	5434
504	5532	5423
505	5543	5411
506	5553	5399
507	5563	5388
508	5573	5376
509	5584	5365
510	5595	5354
511	5604	5342
512	5615	5331
513	5626	5320
514	5636	5308
515	5647	5297
516	5659	5287
517	5670	5276
518	5680	5264
519	5691	5253
520	5701	5242
521	5712	5230
522	5722	5219
523	5733	5208
524	5744	5197
525	5755	5186
526	5766	5175
527	5776	5163
528	5786	5152
529	5797	5140
530	5807	5129
531	5818	5118
532	5828	5106
533	5839	5095
534	5849	5084
535	5861	5073
536	5872	5062
537	5882	5051
538	5896	5042
539	5908	5032
540	5918	5021
541	5928	5009
542	5939	4998
543	5950	4987
544	5960	4976
545	5971	4965
546	5982	4954
547	5992	4942
548	6003	4931
549	6013	4920
550	6024	4909
551	6035	4898
552	6045	4886
553	6056	4875
554	6066	4864
555	6077	4852
556	6087	4841
557	6097	4830
558	6108	4819
559	6118	4807
560	6129	4796
561	6139	4784
562	6150	4773
563	6161	4762
564	6171	4751
565	6181	4740
566	6191	4728
567	6201	4716
568	6211	4705
569	6222	4693
570	6232	4682
571	6243	4671
572	6254	4660
573	6264	4649
574	6274	4637
575	6285	4626
576	6295	4615
577	6306	4604
578	6316	4592
579	6326	4581
580	6337	4570
581	6348	4559
582	6358	4548
583	6368	4536
584	6379	4525
585	6389	4514
586	6400	4502
587	6410	4491
588	6420	4480
589	6430	4468
590	6441	4457
591	6451	4446
592	6463	4435
593	6474	4425
594	6485	4414
595	6495	4403
596	6506	4392
597	6517	4381
598	6527	4369
599	6538	4358
600	6548	4347
601	6559	4336
602	6569	4325
603	6580	4314
604	6591	4303
605	6602	4292
606	6612	4281
607	6623	4270
608	6634	4259
609	6644	4248
610	6656	4237
611	6666	4226
612	6677	4215
613	6689	4205
614	6699	4194
615	6710	4183
616	6721	4172
617	6731	4161
618	6742	4150
619	6753	4139
620	6764	4128
621	6774	4116
622	6785	4105
623	6795	4094
624	6805	4083
625	6816	4072
626	6827	4061
627	6838	4051
628	6849	4040
629	6860	4029
630	6870	4018
631	6881	4007
632	6895	3997
633	6905	3986
634	6916	3975
635	6926	3964
636	6937	3953
637	6947	3942
638	6958	3930
639	6968	3919
640	6978	3908
641	6988	3897
642	6999	3886
643	7009	3874
644	7019	3863
645	7030	3852
646	7042	3842
647	7052	3830
648	7062	3819
649	7073	3808
650	7083	3797
651	7093	3786
652	7104	3775
653	7114	3763
654	7124	3752
655	7135	3741
656	7145	3730
657	7156	3719
658	7166	3708
659	7176	3697
660	7186	3685
661	7196	3674
662	7207	3663
663	7217	3652
664	7228	3641
665	7240	3631
666	7251	3620
667	7261	3608
668	7271	3597
669	7281	3586
670	7291	3575
671	7302	3564
672	7312	3552
673	7322	3541
674	7332	3530
675	7343	3519
676	7353	3508
677	7363	3497
678	7374	3486
679	7383	3474
680	7394	3463
681	7404	3452
682	7415	3441
683	7426	3430
684	7436	3419
685	7446	3408
686	7457	3397
687	7468	3386
688	7478	3375
689	7489	3364
690	7500	3353
691	7510	3342
692	7520	3331
693	7530	3320
694	7541	3309
695	7551	3298
696	7561	3287
697	7572	3276
698	7582	3265
699	7592	3253
700	7602	3242
701	7613	3231
702	7626	3222
703	7638	3211
704	7648	3200
705	7658	3189
706	7669	3178
707	7679	3167
708	7689	3156
709	7700	3145
710	7710	3134
711	7720	3123
712	7731	3112
713	7741	3101
714	7752	3089
715	7762	3078
716	7772	3067
717	7781	3056
718	7792	3045
719	7802	3034
720	7812	3023
721	7823	3012
722	7833	3001
723	7843	2990
724	7854	2979
725	7864	2967
726	7874	2957
727	7886	2946
728	7896	2935
729	7907	2924
730	7917	2913
731	7927	2902
732	7937	2891
733	7948	2880
734	7959	2869
735	7969	2858
736	7980	2847
737	7991	2837
738	8001	2826
739	8012	2815
740	8023	2804
741	8033	2793
742	8043	2782
743	8053	2771
744	8064	2760
745	8075	2749
746	8085	2738
747	8095	2727
748	8106	2716
749	8116	2705
750	8127	2694
751	8137	2683
752	8147	2672
753	8157	2661
754	8167	2650
755	8178	2639
756	8188	2628
757	8198	2617
758	8208	2606
759	8218	2595
760	8229	2584
761	8243	2574
762	8253	2563
763	8263	2552
764	8274	2541
765	8285	2530
766	8296	2520
767	8306	2509
768	8316	2498
769	8327	2487
770	8337	2476
771	8347	2465
772	8357	2454
773	8368	2443
774	8378	2432
775	8388	2421
776	8398	2410
777	8409	2399
778	8419	2388
779	8430	2377
780	8440	2366
781	8450	2355
782	8460	2344
783	8471	2333
784	8481	2322
785	8491	2312
786	8502	2301
787	8512	2290
788	8523	2279
789	8533	2268
790	8543	2257
791	8553	2246
792	8563	2235
793	8574	2224
794	8584	2213
795	8595	2202
796	8605	2191
797	8618	2181
798	8628	2170
799	8638	2159
800	8649	2148
801	8659	2137
802	8670	2127
803	8681	2116
804	8691	2105
805	8701	2094
806	8711	2083
807	8721	2072
808	8732	2061
809	8742	2050
810	8752	2039
811	8762	2028
812	8773	2017
813	8783	2007
814	8793	1996
815	8803	1985
816	8814	1974
817	8825	1963
818	8835	1952
819	8845	1941
820	8855	1930
821	8865	1919
822	8875	1908
823	8886	1898
824	8896	1887
825	8907	1876
826	8917	1865
827	8928	1854
828	8938	1843
829	8948	1832
830	8958	1821
831	8968	1811
832	8979	1800
833	8989	1789
834	8999	1778
835	9010	1767
836	9020	1756
837	9031	1745
838	9041	1735
839	9052	1724
840	9063	1713
841	9073	1702
842	9085	1692
843	9095	1681
844	9105	1670
845	9116	1659
846	9126	1648
847	9136	1637
848	9146	1626
849	9157	1616
850	9167	1605
851	9177	1594
852	9187	1583
853	9198	1572
854	9208	1561
855	9218	1550
856	9229	1539
857	9240	1529
858	9251	1518
859	9261	1507
860	9272	1496
861	9282	1486
862	9292	1475
863	9302	1464
864	9313	1453
865	9323	1442
866	9333	1431
867	9343	1420
868	9354	1410
869	9364	1399
870	9374	1388
871	9385	1377
872	9396	1366
873	9406	1356
874	9417	1345
875	9427	1334
876	9438	1323
877	9448	1312
878	9459	1302
879	9470	1291
880	9481	1280
881	9492	1269
882	9503	1259
883	9513	1248
884	9523	1237
885	9533	1226
886	9544	1215
887	9554	1205
888	9564	1194
889	9575	1183
890	9586	1172
891	9602	1162
892	9613	1151
893	9624	1141
894	9634	1130
895	9645	1119
896	9656	1108
897	9666	1097
898	9676	1087
899	9687	1076
900	9697	1065
901	9707	1054
902	9717	1043
903	9727	1033
904	9738	1022
905	9748	1011
906	9759	1000
907	9769	989
908	9779	979
909	9789	968
910	9799	957
911	9810	946
912	9820	935
913	9830	924
914	9840	914
915	9851	903
916	9860	892
917	9871	881
918	9882	871
919	9892	860
920	9902	849
921	9913	838
922	9922	827
923	9933	817
924	9943	806
925	9954	795
926	9964	784
927	9974	773
928	9984	763
929	9994	752
930	10004	741
931	10014	730
932	10025	719
933	10035	709
934	10045	698
935	10056	687
936	10067	676
937	10077	666
938	10087	655
939	10097	644
940	10107	633
941	10118	623
942	10128	612
943	10138	601
944	10149	590
945	10159	579
946	10170	569
947	10180	558
948	10190	547
949	10201	536
950	10210	526
951	10221	515
952	10230	504
953	10243	493
954	10253	483
955	10264	472
956	10274	461
957	10285	450
958	10295	440
959	10305	429
960	10316	418
961	10326	407
962	10336	397
963	10347	386
964	10358	375
965	10368	364
966	10378	354
967	10389	343
968	10399	332
969	10410	321
970	10422	311
971	10431	300
972	10442	289
973	10452	279
974	10462	268
975	10472	257
976	10483	246
977	10493	236
978	10504	225
979	10514	214
980	10525	203
981	10535	193
982	10545	182
983	10556	171
984	10566	160
985	10579	150
986	10589	139
987	10601	128
988	10611	118
989	10622	107
990	10632	96
991	10642	85
992	10652	75
993	10663	64
994	10673	53
995	10684	42
996	10695	32
997	10705	21
998	10715	10
999	10726	0
